datetime,no,no2,pm1,pm10,pm2_5,pm4,serial_number
2021-04-30 22:00:00,43.11,63.11,12.05,21.06,14.36,16.23,DCC-AQ10
2021-04-30 23:00:00,26.41,58.34,14.39,23.34,16.99,19.18,DCC-AQ10
2021-05-01 00:00:00,18.79,60.68,15.77,21.94,17.47,18.95,DCC-AQ10
2021-05-01 01:00:00,13.31,50.4,18.16,24.45,19.97,21.4,DCC-AQ10
2021-05-01 02:00:00,6.11,32.74,17.5,22.89,19.16,20.54,DCC-AQ10
2021-05-01 03:00:00,12.17,32.4,15.69,20.28,17.02,18.19,DCC-AQ10
2021-05-01 04:00:00,22.33,37.41,16.01,20.75,17.34,18.41,DCC-AQ10
2021-05-01 05:00:00,32.17,47.21,17.58,22.94,19.16,20.47,DCC-AQ10
2021-05-01 06:00:00,43.34,48.05,16.47,24.2,18.35,20.0,DCC-AQ10
2021-05-01 07:00:00,23.8,43.71,12.65,21.93,14.78,16.74,DCC-AQ10
2021-05-01 08:00:00,11.2,29.45,9.3,18.53,11.47,13.35,DCC-AQ10
2021-05-01 09:00:00,8.71,20.47,4.47,8.75,5.77,7.0,DCC-AQ10
2021-05-01 10:00:00,10.56,27.71,3.96,9.97,5.58,7.15,DCC-AQ10
2021-05-01 11:00:00,14.16,36.94,4.06,11.13,5.73,7.27,DCC-AQ10
2021-05-01 12:00:00,3.22,21.6,3.01,8.11,4.41,5.73,DCC-AQ10
2021-05-01 13:00:00,4.51,20.38,3.29,9.07,4.86,6.27,DCC-AQ10
2021-05-01 14:00:00,7.4,24.83,3.23,8.12,4.59,5.79,DCC-AQ10
2021-05-01 15:00:00,5.92,25.03,3.26,8.4,4.71,6.02,DCC-AQ10
2021-05-01 16:00:00,8.22,25.32,3.28,8.5,4.78,6.2,DCC-AQ10
2021-05-01 17:00:00,10.5,28.24,2.89,8.1,4.27,5.49,DCC-AQ10
2021-05-01 18:00:00,5.66,23.43,3.51,9.46,5.0,6.31,DCC-AQ10
2021-05-01 19:00:00,1.75,18.1,4.84,9.69,6.33,7.75,DCC-AQ10
2021-05-01 20:00:00,1.62,21.39,8.78,15.32,10.76,12.62,DCC-AQ10
2021-05-01 21:00:00,6.22,32.82,10.88,17.09,12.73,14.39,DCC-AQ10
2021-05-01 22:00:00,3.29,22.99,7.83,12.34,9.11,10.18,DCC-AQ10
2021-05-01 23:00:00,6.75,21.18,6.49,11.03,7.55,8.41,DCC-AQ10
2021-05-02 00:00:00,4.14,13.67,5.63,8.69,6.44,7.18,DCC-AQ10
2021-05-02 01:00:00,3.52,14.92,6.54,9.18,7.32,8.02,DCC-AQ10
2021-05-02 02:00:00,5.28,24.37,7.64,10.12,8.43,9.11,DCC-AQ10
2021-05-02 03:00:00,8.01,21.44,7.08,10.0,7.86,8.54,DCC-AQ10
2021-05-02 04:00:00,7.28,19.25,7.15,9.2,7.79,8.36,DCC-AQ10
2021-05-02 05:00:00,9.57,19.0,8.24,10.22,8.87,9.45,DCC-AQ10
2021-05-02 06:00:00,20.94,31.04,9.1,12.43,9.96,10.68,DCC-AQ10
2021-05-02 07:00:00,17.84,31.17,8.51,13.67,9.6,10.51,DCC-AQ10
2021-05-02 08:00:00,11.33,21.94,7.71,11.41,8.61,9.37,DCC-AQ10
2021-05-02 09:00:00,9.68,18.17,6.57,9.77,7.49,8.3,DCC-AQ10
2021-05-02 10:00:00,10.93,16.5,6.05,10.09,7.03,7.91,DCC-AQ10
2021-05-02 11:00:00,16.24,23.63,5.96,10.33,6.92,7.73,DCC-AQ10
2021-05-02 12:00:00,11.56,19.41,4.38,10.01,5.31,6.02,DCC-AQ10
2021-05-02 13:00:00,33.43,35.4,3.54,8.7,4.49,5.38,DCC-AQ10
2021-05-02 14:00:00,28.59,32.98,2.96,7.21,3.73,4.37,DCC-AQ10
2021-05-02 15:00:00,23.33,28.94,2.89,6.7,3.63,4.28,DCC-AQ10
2021-05-02 16:00:00,16.53,27.27,2.45,7.02,3.27,4.0,DCC-AQ10
2021-05-02 17:00:00,20.44,31.13,1.77,5.37,2.45,3.1,DCC-AQ10
