datetime,pm1,pm10,pm2_5,tsp,serial_number
2021-04-30 22:00:00,2.8,10.45,5.39,16.67,TNO4435
2021-04-30 23:00:00,3.66,12.95,6.75,19.75,TNO4435
2021-05-01 00:00:00,2.88,10.87,5.62,17.4,TNO4435
2021-05-01 01:00:00,2.27,7.55,4.25,10.92,TNO4435
2021-05-01 02:00:00,2.44,8.32,4.55,12.33,TNO4435
2021-05-01 03:00:00,2.73,8.85,4.99,12.67,TNO4435
2021-05-01 04:00:00,2.44,7.83,4.43,10.82,TNO4435
2021-05-01 05:00:00,2.28,7.1,4.07,10.25,TNO4435
2021-05-01 06:00:00,2.33,7.5,4.22,11.23,TNO4435
2021-05-01 07:00:00,2.41,8.3,4.51,12.63,TNO4435
2021-05-01 08:00:00,2.7,9.9,5.28,14.73,TNO4435
2021-05-01 09:00:00,2.69,9.28,5.13,13.2,TNO4435
2021-05-01 10:00:00,2.49,8.35,4.69,12.05,TNO4435
2021-05-01 11:00:00,2.44,9.45,4.89,14.13,TNO4435
2021-05-01 12:00:00,2.04,7.1,4.15,10.33,TNO4435
2021-05-01 13:00:00,2.29,7.5,4.52,10.1,TNO4435
2021-05-01 14:00:00,2.07,7.05,4.15,9.85,TNO4435
2021-05-01 15:00:00,2.1,7.5,4.23,10.78,TNO4435
2021-05-01 16:00:00,2.21,7.75,4.49,10.55,TNO4435
2021-05-01 17:00:00,2.42,8.0,4.75,11.15,TNO4435
2021-05-01 18:00:00,2.91,9.97,5.71,13.38,TNO4435
2021-05-01 19:00:00,3.19,10.5,6.17,13.53,TNO4435
2021-05-01 20:00:00,3.98,12.55,7.37,16.8,TNO4435
2021-05-01 21:00:00,3.42,10.93,6.21,15.33,TNO4435
2021-05-01 22:00:00,2.89,9.02,5.26,12.63,TNO4435
2021-05-01 23:00:00,2.36,7.5,4.32,11.13,TNO4435
2021-05-02 00:00:00,1.71,5.0,3.05,7.33,TNO4435
2021-05-02 01:00:00,1.37,3.6,2.38,5.3,TNO4435
2021-05-02 02:00:00,1.28,3.42,2.24,5.35,TNO4435
2021-05-02 03:00:00,1.3,3.65,2.3,5.22,TNO4435
2021-05-02 04:00:00,1.31,3.48,2.26,5.2,TNO4435
2021-05-02 05:00:00,1.23,3.15,2.09,4.55,TNO4435
2021-05-02 06:00:00,1.32,3.22,2.21,4.5,TNO4435
2021-05-02 07:00:00,1.37,3.5,2.3,4.98,TNO4435
2021-05-02 08:00:00,1.45,3.88,2.5,5.73,TNO4435
2021-05-02 09:00:00,1.44,3.98,2.54,5.48,TNO4435
2021-05-02 10:00:00,1.51,4.38,2.76,6.17,TNO4435
2021-05-02 11:00:00,1.43,4.25,2.59,6.2,TNO4435
2021-05-02 12:00:00,1.17,3.7,2.2,5.4,TNO4435
2021-05-02 13:00:00,1.14,3.8,2.15,5.52,TNO4435
2021-05-02 14:00:00,1.31,4.3,2.5,6.22,TNO4435
2021-05-02 15:00:00,1.5,4.7,2.88,6.88,TNO4435
2021-05-02 16:00:00,1.65,5.02,3.1,7.05,TNO4435
2021-05-02 17:00:00,1.49,5.0,2.84,7.42,TNO4435
2021-05-02 18:00:00,1.78,6.27,3.45,9.45,TNO4435
2021-05-02 19:00:00,1.76,6.1,3.4,9.58,TNO4435
2021-05-02 20:00:00,2.22,7.32,4.05,10.83,TNO4435
2021-05-02 21:00:00,2.59,8.63,4.64,13.78,TNO4435
2021-05-02 22:00:00,2.09,7.35,3.95,10.83,TNO4435
2021-05-02 23:00:00,1.93,6.4,3.44,10.63,TNO4435
2021-05-03 00:00:00,1.71,5.4,2.94,9.67,TNO4435
2021-05-03 01:00:00,1.8,6.43,3.22,11.68,TNO4435
2021-05-03 02:00:00,1.99,7.8,3.6,15.9,TNO4435
2021-05-03 03:00:00,1.24,3.8,2.21,5.9,TNO4435
2021-05-03 04:00:00,1.12,3.88,2.08,6.42,TNO4435
2021-05-03 05:00:00,0.71,2.82,1.36,4.3,TNO4435
2021-05-03 06:00:00,0.65,2.18,1.27,3.45,TNO4435
2021-05-03 07:00:00,1.02,3.7,2.26,5.23,TNO4435
2021-05-03 08:00:00,0.97,4.0,2.35,5.65,TNO4435
2021-05-03 09:00:00,0.66,2.45,1.59,3.4,TNO4435
2021-05-03 10:00:00,0.65,2.45,1.41,3.75,TNO4435
2021-05-03 11:00:00,0.43,1.62,0.92,2.5,TNO4435
2021-05-03 12:00:00,0.25,1.08,0.54,2.25,TNO4435
2021-05-03 13:00:00,0.51,1.78,1.06,2.52,TNO4435
2021-05-03 14:00:00,1.67,4.58,3.32,6.5,TNO4435
2021-05-03 15:00:00,5.2,12.6,9.44,17.05,TNO4435
2021-05-03 16:00:00,4.7,12.75,8.38,16.75,TNO4435
2021-05-03 17:00:00,4.64,9.92,7.93,13.2,TNO4435
2021-05-03 18:00:00,4.37,9.63,7.87,12.45,TNO4435
2021-05-03 19:00:00,3.07,7.4,6.33,9.72,TNO4435
2021-05-03 20:00:00,2.73,7.55,6.1,10.08,TNO4435
2021-05-03 21:00:00,1.27,2.6,2.15,3.45,TNO4435
2021-05-03 22:00:00,1.3,2.32,1.95,3.03,TNO4435
2021-05-03 23:00:00,1.07,2.15,1.75,2.75,TNO4435
2021-05-04 00:00:00,0.72,1.47,1.15,1.85,TNO4435
2021-05-04 01:00:00,0.85,1.7,1.32,2.25,TNO4435
2021-05-04 02:00:00,1.29,2.43,2.02,2.9,TNO4435
2021-05-04 03:00:00,1.74,3.28,2.73,3.9,TNO4435
2021-05-04 04:00:00,1.69,3.28,2.72,4.28,TNO4435
2021-05-04 05:00:00,2.69,5.45,4.6,6.67,TNO4435
2021-05-04 06:00:00,3.42,7.4,6.18,9.05,TNO4435
2021-05-04 07:00:00,3.28,7.53,5.89,9.75,TNO4435
