datetime,no,no2,pm1,pm10,pm2_5,pm4,serial_number
2021-04-30 22:00:00,0.46,40.2,18.06,23.41,19.76,20.94,DCC-AQ5
2021-04-30 23:00:00,8.96,74.66,23.63,30.91,25.77,27.44,DCC-AQ5
2021-05-01 00:00:00,0.76,43.97,25.88,33.16,28.39,30.19,DCC-AQ5
2021-05-01 01:00:00,2.09,45.72,23.7,32.31,26.36,28.24,DCC-AQ5
2021-05-01 02:00:00,0.68,42.45,19.85,26.82,21.98,23.76,DCC-AQ5
2021-05-01 03:00:00,0.16,28.03,15.75,19.42,17.12,18.26,DCC-AQ5
2021-05-01 04:00:00,0.24,26.6,18.12,23.16,19.83,21.15,DCC-AQ5
2021-05-01 05:00:00,0.26,21.67,17.51,22.57,19.15,20.4,DCC-AQ5
2021-05-01 06:00:00,1.81,23.86,16.17,21.4,17.76,18.99,DCC-AQ5
2021-05-01 07:00:00,2.62,18.47,11.69,17.36,13.25,14.54,DCC-AQ5
2021-05-01 08:00:00,4.33,17.98,10.04,16.4,11.79,13.3,DCC-AQ5
2021-05-01 09:00:00,3.28,13.16,7.04,12.69,8.68,10.22,DCC-AQ5
2021-05-01 10:00:00,1.41,6.41,3.88,7.65,5.15,6.3,DCC-AQ5
2021-05-01 11:00:00,1.39,8.66,4.17,8.52,5.48,6.64,DCC-AQ5
2021-05-01 12:00:00,1.2,12.28,4.99,9.99,6.48,7.78,DCC-AQ5
2021-05-01 13:00:00,1.18,13.67,6.08,10.9,7.44,8.54,DCC-AQ5
2021-05-01 14:00:00,1.18,6.73,4.8,8.97,6.15,7.43,DCC-AQ5
2021-05-01 15:00:00,0.97,7.69,4.65,8.39,5.95,7.12,DCC-AQ5
2021-05-01 16:00:00,1.31,9.28,3.72,7.67,5.04,6.26,DCC-AQ5
2021-05-01 17:00:00,1.83,12.62,4.06,8.41,5.43,6.71,DCC-AQ5
2021-05-01 18:00:00,0.86,11.6,4.38,8.8,5.72,6.9,DCC-AQ5
2021-05-01 19:00:00,0.46,13.75,7.94,12.74,9.43,10.66,DCC-AQ5
2021-05-01 20:00:00,0.31,22.02,9.45,15.23,11.25,12.8,DCC-AQ5
2021-05-01 21:00:00,0.14,32.68,13.83,19.48,15.81,17.48,DCC-AQ5
2021-05-01 22:00:00,1.42,18.45,14.58,19.36,16.07,17.23,DCC-AQ5
2021-05-01 23:00:00,0.22,7.01,8.15,11.46,9.09,9.86,DCC-AQ5
2021-05-02 00:00:00,0.11,5.79,6.45,8.6,7.2,7.82,DCC-AQ5
2021-05-02 01:00:00,0.16,8.54,6.25,8.69,6.94,7.49,DCC-AQ5
2021-05-02 02:00:00,0.11,11.14,6.74,9.38,7.46,8.08,DCC-AQ5
2021-05-02 03:00:00,-0.09,8.68,6.6,8.83,7.29,7.88,DCC-AQ5
2021-05-02 04:00:00,-0.03,11.73,8.25,11.01,9.06,9.64,DCC-AQ5
2021-05-02 05:00:00,0.25,17.49,7.49,9.56,8.1,8.59,DCC-AQ5
2021-05-02 06:00:00,1.27,18.1,8.17,9.82,8.75,9.26,DCC-AQ5
2021-05-02 07:00:00,2.47,16.88,8.5,10.61,9.2,9.75,DCC-AQ5
2021-05-02 08:00:00,1.09,5.27,8.06,10.58,8.74,9.32,DCC-AQ5
2021-05-02 09:00:00,1.03,4.64,7.27,9.71,8.09,8.75,DCC-AQ5
2021-05-02 10:00:00,0.96,3.96,7.25,9.61,8.05,8.73,DCC-AQ5
2021-05-02 11:00:00,0.83,3.79,5.79,8.13,6.55,7.18,DCC-AQ5
2021-05-02 12:00:00,0.73,3.08,6.1,8.46,6.78,7.34,DCC-AQ5
2021-05-02 13:00:00,0.39,2.2,4.37,6.53,5.02,5.64,DCC-AQ5
2021-05-02 14:00:00,0.55,3.14,5.22,7.15,5.83,6.34,DCC-AQ5
2021-05-02 15:00:00,0.37,4.6,4.16,6.4,4.74,5.15,DCC-AQ5
2021-05-02 16:00:00,0.6,4.1,5.23,7.23,5.89,6.4,DCC-AQ5
2021-05-02 17:00:00,0.68,4.8,2.9,4.72,3.47,4.05,DCC-AQ5
2021-05-02 18:00:00,0.6,6.82,2.75,5.27,3.34,3.91,DCC-AQ5
2021-05-02 19:00:00,0.5,10.02,4.67,7.76,5.43,6.03,DCC-AQ5
2021-05-02 20:00:00,0.24,12.94,5.69,9.49,6.48,7.07,DCC-AQ5
2021-05-02 21:00:00,0.47,23.2,9.44,13.36,10.45,11.39,DCC-AQ5
2021-05-02 22:00:00,0.26,21.02,7.26,11.77,8.21,9.0,DCC-AQ5
2021-05-02 23:00:00,0.13,17.7,6.13,9.91,6.98,7.65,DCC-AQ5
2021-05-03 00:00:00,0.16,12.63,6.7,10.1,7.48,8.04,DCC-AQ5
2021-05-03 01:00:00,0.14,12.15,3.87,6.27,4.49,5.11,DCC-AQ5
2021-05-03 02:00:00,-0.04,12.22,3.51,5.76,4.08,4.57,DCC-AQ5
2021-05-03 03:00:00,-0.03,5.89,4.44,7.21,5.06,5.66,DCC-AQ5
2021-05-03 04:00:00,0.2,2.09,2.74,5.76,3.42,4.02,DCC-AQ5
2021-05-03 05:00:00,0.18,3.57,1.76,4.12,2.31,2.82,DCC-AQ5
2021-05-03 06:00:00,0.27,4.79,1.38,2.42,1.78,2.19,DCC-AQ5
2021-05-03 07:00:00,0.44,4.16,0.88,2.32,1.3,1.71,DCC-AQ5
2021-05-03 08:00:00,0.44,3.46,0.48,1.49,0.75,1.01,DCC-AQ5
2021-05-03 09:00:00,0.58,2.98,2.72,5.28,3.29,3.7,DCC-AQ5
2021-05-03 10:00:00,0.85,2.42,1.4,3.28,1.94,2.41,DCC-AQ5
2021-05-03 11:00:00,0.84,2.58,0.46,1.52,0.78,1.06,DCC-AQ5
2021-05-03 12:00:00,1.22,4.01,1.24,2.35,1.49,1.71,DCC-AQ5
2021-05-03 13:00:00,0.56,3.86,1.31,2.92,1.76,2.21,DCC-AQ5
2021-05-03 14:00:00,0.8,2.74,2.72,9.92,5.05,7.26,DCC-AQ5
2021-05-03 15:00:00,0.55,1.41,3.97,13.78,7.15,9.95,DCC-AQ5
2021-05-03 16:00:00,0.66,3.07,3.72,9.86,6.07,8.19,DCC-AQ5
2021-05-03 17:00:00,0.71,4.2,3.73,9.76,6.14,8.2,DCC-AQ5
2021-05-03 18:00:00,0.69,3.97,2.98,8.29,5.07,6.86,DCC-AQ5
2021-05-03 19:00:00,0.67,3.64,2.33,5.66,3.69,4.76,DCC-AQ5
2021-05-03 20:00:00,0.42,3.8,2.89,5.93,4.09,5.13,DCC-AQ5
2021-05-03 21:00:00,0.26,2.83,1.53,2.49,1.88,2.14,DCC-AQ5
2021-05-03 22:00:00,0.12,2.55,2.5,3.76,3.03,3.44,DCC-AQ5
2021-05-03 23:00:00,0.17,1.38,2.26,3.77,2.85,3.39,DCC-AQ5
2021-05-04 00:00:00,0.1,1.33,0.91,2.21,1.31,1.68,DCC-AQ5
2021-05-04 01:00:00,0.08,0.98,0.91,2.22,1.39,1.79,DCC-AQ5
2021-05-04 02:00:00,-0.05,0.53,0.94,2.7,1.63,2.25,DCC-AQ5
2021-05-04 03:00:00,0.02,0.68,1.2,3.38,2.09,2.95,DCC-AQ5
2021-05-04 04:00:00,0.06,0.56,1.45,4.69,2.64,3.76,DCC-AQ5
2021-05-04 05:00:00,0.07,2.01,1.87,6.93,3.75,5.48,DCC-AQ5
2021-05-04 06:00:00,0.72,6.82,1.87,8.43,4.03,6.15,DCC-AQ5
2021-05-04 07:00:00,1.64,7.78,1.66,7.03,3.54,5.47,DCC-AQ5
2021-05-04 08:00:00,1.59,4.96,1.41,6.08,2.98,4.52,DCC-AQ5
2021-05-04 09:00:00,1.3,4.24,1.75,7.36,3.51,5.11,DCC-AQ5
2021-05-04 10:00:00,1.41,4.15,1.64,5.34,2.8,3.8,DCC-AQ5
2021-05-04 11:00:00,1.41,4.12,0.84,4.25,1.71,2.56,DCC-AQ5
2021-05-04 12:00:00,1.43,3.77,1.39,4.63,2.31,3.2,DCC-AQ5
2021-05-04 13:00:00,1.38,4.18,0.98,4.71,1.72,2.4,DCC-AQ5
2021-05-04 14:00:00,1.49,3.37,0.98,3.69,1.66,2.33,DCC-AQ5
2021-05-04 15:00:00,1.51,4.2,1.63,5.55,2.74,3.83,DCC-AQ5
2021-05-04 16:00:00,1.85,9.87,2.43,6.77,3.79,5.06,DCC-AQ5
2021-05-04 17:00:00,2.76,10.63,3.59,11.45,5.95,8.22,DCC-AQ5
2021-05-04 18:00:00,1.2,5.61,2.0,5.75,3.39,4.69,DCC-AQ5
2021-05-04 19:00:00,0.99,8.52,2.23,3.93,2.83,3.4,DCC-AQ5
2021-05-04 20:00:00,0.52,6.76,2.68,4.62,3.28,3.8,DCC-AQ5
2021-05-04 21:00:00,0.36,7.15,3.03,5.08,3.75,4.37,DCC-AQ5
2021-05-04 22:00:00,0.11,8.06,4.19,6.95,5.15,5.98,DCC-AQ5
2021-05-04 23:00:00,0.03,6.67,2.91,5.6,3.94,4.99,DCC-AQ5
2021-05-05 00:00:00,0.07,3.65,2.79,5.96,3.83,4.89,DCC-AQ5
2021-05-05 01:00:00,0.03,2.67,1.9,3.7,2.59,3.32,DCC-AQ5
2021-05-05 02:00:00,0.08,2.18,1.84,3.74,2.55,3.24,DCC-AQ5
2021-05-05 03:00:00,0.05,2.94,1.7,3.13,2.25,2.74,DCC-AQ5
2021-05-05 04:00:00,0.1,4.61,2.03,3.64,2.55,3.04,DCC-AQ5
