datetime,co,no,no2,so2,serial_number
2021-04-30 22:00:00,0.47,6.54,68.0,0.73,DCC-AQ1
2021-04-30 23:00:00,0.55,8.21,60.76,1.05,DCC-AQ1
2021-05-01 00:00:00,0.49,2.19,52.77,0.99,DCC-AQ1
2021-05-01 01:00:00,0.47,5.92,51.68,0.95,DCC-AQ1
2021-05-01 02:00:00,0.39,2.32,42.85,0.69,DCC-AQ1
2021-05-01 03:00:00,0.35,0.89,25.0,0.73,DCC-AQ1
2021-05-01 04:00:00,0.36,1.58,31.68,0.93,DCC-AQ1
2021-05-01 05:00:00,0.36,2.62,28.46,0.82,DCC-AQ1
2021-05-01 06:00:00,0.36,5.9,33.85,1.12,DCC-AQ1
2021-05-01 07:00:00,0.37,7.7,31.97,1.34,DCC-AQ1
2021-05-01 08:00:00,0.34,4.55,19.89,1.37,DCC-AQ1
2021-05-01 09:00:00,0.35,2.68,10.52,2.4,DCC-AQ1
2021-05-01 10:00:00,0.33,2.75,16.61,2.12,DCC-AQ1
2021-05-01 11:00:00,0.35,2.41,20.1,2.21,DCC-AQ1
2021-05-01 12:00:00,0.34,2.71,22.13,2.15,DCC-AQ1
2021-05-01 13:00:00,0.34,2.33,12.19,1.84,DCC-AQ1
2021-05-01 14:00:00,0.32,1.93,10.67,1.27,DCC-AQ1
2021-05-01 15:00:00,0.35,1.51,10.86,1.42,DCC-AQ1
2021-05-01 16:00:00,0.35,1.65,8.79,1.22,DCC-AQ1
2021-05-01 17:00:00,0.35,1.07,7.79,0.92,DCC-AQ1
2021-05-01 18:00:00,0.35,0.87,11.78,1.07,DCC-AQ1
2021-05-01 19:00:00,0.35,0.72,15.74,1.24,DCC-AQ1
2021-05-01 20:00:00,0.36,0.71,21.27,1.4,DCC-AQ1
2021-05-01 21:00:00,0.41,1.14,21.84,1.58,DCC-AQ1
2021-05-01 22:00:00,0.35,0.88,10.07,1.62,DCC-AQ1
2021-05-01 23:00:00,0.39,0.78,7.26,1.4,DCC-AQ1
2021-05-02 00:00:00,0.35,0.52,5.49,0.89,DCC-AQ1
2021-05-02 01:00:00,0.35,0.59,5.94,0.71,DCC-AQ1
2021-05-02 02:00:00,0.35,0.25,4.56,0.61,DCC-AQ1
2021-05-02 03:00:00,0.35,0.9,20.35,0.48,DCC-AQ1
2021-05-02 04:00:00,0.35,1.87,38.26,0.38,DCC-AQ1
2021-05-02 05:00:00,0.35,1.75,17.64,0.39,DCC-AQ1
2021-05-02 06:00:00,0.35,6.37,31.82,0.76,DCC-AQ1
2021-05-02 07:00:00,0.35,2.55,12.59,0.81,DCC-AQ1
2021-05-02 08:00:00,0.35,1.14,4.19,0.94,DCC-AQ1
2021-05-02 09:00:00,0.35,1.91,5.64,1.56,DCC-AQ1
2021-05-02 10:00:00,0.35,2.11,5.94,1.29,DCC-AQ1
2021-05-02 11:00:00,0.34,1.93,6.07,1.18,DCC-AQ1
2021-05-02 12:00:00,0.34,1.57,4.03,0.79,DCC-AQ1
2021-05-02 13:00:00,0.34,1.83,5.36,1.12,DCC-AQ1
2021-05-02 14:00:00,0.35,1.56,6.75,0.78,DCC-AQ1
2021-05-02 15:00:00,0.35,2.79,20.85,1.51,DCC-AQ1
2021-05-02 16:00:00,0.35,4.55,24.67,1.89,DCC-AQ1
2021-05-02 17:00:00,0.32,1.3,8.34,0.95,DCC-AQ1
2021-05-02 18:00:00,0.34,1.02,7.95,1.03,DCC-AQ1
2021-05-02 19:00:00,0.35,1.0,10.48,0.95,DCC-AQ1
2021-05-02 20:00:00,0.38,0.6,18.44,1.46,DCC-AQ1
2021-05-02 21:00:00,0.49,1.77,33.17,3.48,DCC-AQ1
2021-05-02 22:00:00,0.42,0.86,18.96,2.16,DCC-AQ1
2021-05-02 23:00:00,0.38,0.74,16.92,1.97,DCC-AQ1
2021-05-03 00:00:00,0.39,0.64,12.98,1.89,DCC-AQ1
2021-05-03 01:00:00,0.38,0.31,19.46,1.37,DCC-AQ1
2021-05-03 02:00:00,0.35,0.75,10.27,1.78,DCC-AQ1
2021-05-03 03:00:00,0.35,0.39,2.54,1.74,DCC-AQ1
2021-05-03 04:00:00,0.34,0.79,3.49,1.3,DCC-AQ1
2021-05-03 05:00:00,0.35,0.49,6.7,1.03,DCC-AQ1
2021-05-03 06:00:00,0.35,1.01,15.64,1.37,DCC-AQ1
2021-05-03 07:00:00,0.35,0.82,8.71,1.28,DCC-AQ1
2021-05-03 08:00:00,0.35,0.66,5.87,1.52,DCC-AQ1
2021-05-03 09:00:00,0.35,1.17,1.76,1.77,DCC-AQ1
2021-05-03 10:00:00,0.35,1.28,1.97,2.06,DCC-AQ1
2021-05-03 11:00:00,0.29,1.29,3.37,2.5,DCC-AQ1
2021-05-03 12:00:00,0.25,1.09,3.05,2.44,DCC-AQ1
2021-05-03 13:00:00,0.32,1.24,3.33,2.51,DCC-AQ1
2021-05-03 14:00:00,0.34,1.07,1.14,2.93,DCC-AQ1
2021-05-03 15:00:00,0.35,1.31,2.62,2.67,DCC-AQ1
2021-05-03 16:00:00,0.35,0.86,2.38,2.69,DCC-AQ1
2021-05-03 17:00:00,0.35,0.98,2.77,2.72,DCC-AQ1
2021-05-03 18:00:00,0.35,0.86,2.78,2.78,DCC-AQ1
2021-05-03 19:00:00,0.35,0.77,4.19,2.62,DCC-AQ1
2021-05-03 20:00:00,0.35,1.05,3.88,2.45,DCC-AQ1
2021-05-03 21:00:00,0.35,0.87,7.84,2.37,DCC-AQ1
2021-05-03 22:00:00,0.35,0.56,4.68,2.41,DCC-AQ1
2021-05-03 23:00:00,0.35,0.42,0.7,2.14,DCC-AQ1
2021-05-04 00:00:00,0.35,0.59,2.15,2.02,DCC-AQ1
2021-05-04 01:00:00,0.34,0.43,0.03,2.07,DCC-AQ1
2021-05-04 02:00:00,0.33,0.43,-0.33,1.84,DCC-AQ1
2021-05-04 03:00:00,0.35,0.73,-0.06,1.78,DCC-AQ1
2021-05-04 04:00:00,0.28,1.15,6.0,1.82,DCC-AQ1
2021-05-04 05:00:00,0.35,3.34,25.38,1.78,DCC-AQ1
2021-05-04 06:00:00,0.35,5.66,22.01,1.92,DCC-AQ1
2021-05-04 07:00:00,0.35,5.6,14.06,2.0,DCC-AQ1
2021-05-04 08:00:00,0.32,6.8,12.46,2.11,DCC-AQ1
2021-05-04 09:00:00,0.33,6.0,10.91,2.23,DCC-AQ1
2021-05-04 10:00:00,0.34,4.86,9.53,2.12,DCC-AQ1
2021-05-04 11:00:00,0.34,4.01,6.17,1.9,DCC-AQ1
2021-05-04 12:00:00,0.35,4.24,10.03,1.81,DCC-AQ1
2021-05-04 13:00:00,0.35,4.52,7.7,1.7,DCC-AQ1
2021-05-04 14:00:00,0.35,6.31,10.13,1.8,DCC-AQ1
2021-05-04 15:00:00,0.36,7.25,14.69,2.01,DCC-AQ1
2021-05-04 16:00:00,0.4,11.99,22.55,2.35,DCC-AQ1
2021-05-04 17:00:00,0.35,3.56,13.0,1.92,DCC-AQ1
2021-05-04 18:00:00,0.35,2.2,8.58,1.68,DCC-AQ1
2021-05-04 19:00:00,0.35,1.41,11.15,1.53,DCC-AQ1
2021-05-04 20:00:00,0.35,1.22,14.71,1.42,DCC-AQ1
2021-05-04 21:00:00,0.35,0.81,14.14,1.28,DCC-AQ1
2021-05-04 22:00:00,0.37,0.98,15.25,1.39,DCC-AQ1
2021-05-04 23:00:00,0.35,1.02,13.83,1.24,DCC-AQ1
2021-05-05 00:00:00,0.34,0.77,2.16,1.16,DCC-AQ1
2021-05-05 01:00:00,0.29,0.82,9.23,1.24,DCC-AQ1
2021-05-05 02:00:00,0.29,0.52,2.42,1.29,DCC-AQ1
2021-05-05 03:00:00,0.28,0.68,3.96,1.35,DCC-AQ1
2021-05-05 04:00:00,0.35,1.32,14.15,1.33,DCC-AQ1
2021-05-05 05:00:00,0.35,4.07,22.07,1.37,DCC-AQ1
2021-05-05 06:00:00,0.36,8.72,30.9,1.74,DCC-AQ1
2021-05-05 07:00:00,0.35,11.55,25.12,1.59,DCC-AQ1
2021-05-05 08:00:00,0.36,8.7,16.7,1.69,DCC-AQ1
2021-05-05 09:00:00,0.35,4.92,9.57,1.75,DCC-AQ1
2021-05-05 10:00:00,0.36,6.29,16.48,1.82,DCC-AQ1
2021-05-05 11:00:00,0.35,7.97,16.79,1.72,DCC-AQ1
2021-05-05 12:00:00,0.35,4.35,9.86,1.55,DCC-AQ1
2021-05-05 13:00:00,0.36,6.23,14.26,1.75,DCC-AQ1
2021-05-05 14:00:00,0.36,5.79,13.05,2.05,DCC-AQ1
2021-05-05 15:00:00,0.36,4.14,20.98,1.59,DCC-AQ1
2021-05-05 16:00:00,0.36,5.28,21.1,1.57,DCC-AQ1
2021-05-06 00:00:00,0.38,7.24,40.1,1.74,DCC-AQ1
2021-05-06 01:00:00,0.35,0.99,22.12,1.55,DCC-AQ1
2021-05-06 02:00:00,0.35,1.46,23.99,1.62,DCC-AQ1
2021-05-06 03:00:00,0.35,0.72,16.26,1.46,DCC-AQ1
2021-05-06 04:00:00,0.35,1.75,19.83,1.84,DCC-AQ1
2021-05-06 05:00:00,0.35,10.93,41.34,2.23,DCC-AQ1
2021-05-06 06:00:00,0.36,23.54,46.08,2.76,DCC-AQ1
2021-05-06 07:00:00,0.36,13.75,31.34,2.17,DCC-AQ1
2021-05-06 08:00:00,0.36,9.91,22.33,2.23,DCC-AQ1
2021-05-06 09:00:00,0.39,5.17,10.81,2.67,DCC-AQ1
2021-05-06 10:00:00,0.44,4.96,9.46,2.47,DCC-AQ1
2021-05-06 11:00:00,0.35,4.52,8.98,2.03,DCC-AQ1
2021-05-06 12:00:00,0.35,3.92,8.17,2.08,DCC-AQ1
2021-05-06 13:00:00,0.35,5.33,10.65,2.07,DCC-AQ1
2021-05-06 14:00:00,0.36,7.12,14.14,2.22,DCC-AQ1
2021-05-06 15:00:00,0.36,5.29,13.71,1.82,DCC-AQ1
2021-05-06 16:00:00,0.36,5.61,12.53,1.73,DCC-AQ1
2021-05-06 17:00:00,0.36,4.4,12.21,1.74,DCC-AQ1
2021-05-06 18:00:00,0.35,2.17,10.33,1.7,DCC-AQ1
2021-05-06 19:00:00,0.35,1.96,15.54,1.87,DCC-AQ1
2021-05-06 20:00:00,0.35,1.47,10.7,1.9,DCC-AQ1
2021-05-06 21:00:00,0.35,1.2,14.54,1.81,DCC-AQ1
2021-05-06 22:00:00,0.35,3.33,34.0,1.47,DCC-AQ1
2021-05-06 23:00:00,0.35,3.67,33.12,1.31,DCC-AQ1
2021-05-07 00:00:00,0.36,0.78,14.71,1.14,DCC-AQ1
2021-05-07 01:00:00,0.35,0.45,11.09,1.12,DCC-AQ1
2021-05-07 02:00:00,0.35,0.73,12.94,0.95,DCC-AQ1
2021-05-07 03:00:00,0.35,0.72,8.58,1.13,DCC-AQ1
2021-05-07 04:00:00,0.35,1.08,13.77,0.97,DCC-AQ1
2021-05-07 05:00:00,0.36,5.54,31.97,1.17,DCC-AQ1
2021-05-07 06:00:00,0.38,12.49,38.21,1.38,DCC-AQ1
2021-05-07 07:00:00,0.36,11.7,28.7,1.46,DCC-AQ1
2021-05-07 08:00:00,0.36,8.72,20.39,1.73,DCC-AQ1
2021-05-07 09:00:00,0.35,4.82,10.69,2.45,DCC-AQ1
2021-05-07 10:00:00,,3.65,8.3,2.8,DCC-AQ1
2021-05-07 11:00:00,0.25,4.07,9.68,2.51,DCC-AQ1
2021-05-07 12:00:00,0.28,6.74,16.59,2.9,DCC-AQ1
2021-05-07 13:00:00,0.3,3.34,7.75,1.88,DCC-AQ1
2021-05-07 14:00:00,0.32,3.68,9.75,1.76,DCC-AQ1
2021-05-07 15:00:00,0.32,3.23,8.79,1.65,DCC-AQ1
2021-05-07 16:00:00,0.34,2.52,8.64,1.64,DCC-AQ1
2021-05-07 17:00:00,0.35,2.36,9.16,1.91,DCC-AQ1
2021-05-07 18:00:00,0.34,1.46,7.98,1.73,DCC-AQ1
2021-05-07 19:00:00,0.35,1.02,9.08,1.81,DCC-AQ1
2021-05-07 20:00:00,0.35,0.87,10.43,1.48,DCC-AQ1
2021-05-07 21:00:00,0.33,0.62,9.56,1.35,DCC-AQ1
2021-05-07 22:00:00,0.26,0.71,3.65,1.74,DCC-AQ1
2021-05-07 23:00:00,0.24,0.68,0.78,1.86,DCC-AQ1
2021-05-08 00:00:00,0.24,0.54,-0.81,1.74,DCC-AQ1
2021-05-08 01:00:00,0.24,0.3,-0.47,1.98,DCC-AQ1
2021-05-08 02:00:00,0.28,0.48,-0.06,1.74,DCC-AQ1
2021-05-08 03:00:00,0.24,0.54,-0.3,2.03,DCC-AQ1
2021-05-08 04:00:00,0.25,0.8,0.67,2.26,DCC-AQ1
2021-05-08 05:00:00,0.35,1.17,4.71,2.45,DCC-AQ1
2021-05-08 06:00:00,0.35,0.89,4.09,2.48,DCC-AQ1
2021-05-08 07:00:00,0.35,1.88,12.01,2.41,DCC-AQ1
2021-05-08 08:00:00,0.35,6.33,25.68,2.93,DCC-AQ1
2021-05-08 09:00:00,0.28,7.32,18.98,3.14,DCC-AQ1
2021-05-08 10:00:00,0.24,3.18,7.36,2.99,DCC-AQ1
2021-05-08 11:00:00,0.24,2.28,7.33,2.83,DCC-AQ1
2021-05-08 12:00:00,0.28,2.04,6.16,3.06,DCC-AQ1
2021-05-08 13:00:00,0.33,2.0,4.22,2.91,DCC-AQ1
2021-05-08 14:00:00,0.34,2.5,6.67,3.17,DCC-AQ1
2021-05-08 15:00:00,0.34,2.44,4.95,3.16,DCC-AQ1
2021-05-08 16:00:00,0.32,1.96,4.2,2.9,DCC-AQ1
2021-05-08 17:00:00,0.33,2.27,5.6,3.01,DCC-AQ1
2021-05-08 18:00:00,0.33,2.23,8.15,2.83,DCC-AQ1
2021-05-08 19:00:00,0.35,1.74,8.36,2.79,DCC-AQ1
2021-05-08 20:00:00,0.35,1.32,8.1,2.94,DCC-AQ1
2021-05-08 21:00:00,0.35,1.25,7.6,2.78,DCC-AQ1
2021-05-08 22:00:00,0.35,1.01,8.98,2.38,DCC-AQ1
2021-05-08 23:00:00,0.35,0.52,3.8,1.79,DCC-AQ1
2021-05-09 00:00:00,0.35,0.55,2.16,2.74,DCC-AQ1
2021-05-09 01:00:00,0.35,0.56,0.94,2.66,DCC-AQ1
2021-05-09 02:00:00,0.35,0.27,-0.28,2.62,DCC-AQ1
2021-05-09 03:00:00,0.34,0.48,-0.01,2.66,DCC-AQ1
2021-05-09 04:00:00,0.35,0.59,0.46,2.67,DCC-AQ1
2021-05-09 05:00:00,0.35,0.55,1.44,2.82,DCC-AQ1
2021-05-09 06:00:00,0.35,0.7,2.91,2.88,DCC-AQ1
2021-05-09 07:00:00,0.35,0.83,4.88,2.98,DCC-AQ1
2021-05-09 08:00:00,0.35,0.5,3.13,2.8,DCC-AQ1
2021-05-09 09:00:00,0.35,0.64,3.7,2.89,DCC-AQ1
2021-05-09 10:00:00,0.35,0.85,3.67,2.76,DCC-AQ1
2021-05-09 11:00:00,0.35,1.28,3.57,2.91,DCC-AQ1
2021-05-09 12:00:00,0.35,1.55,3.83,3.01,DCC-AQ1
2021-05-09 13:00:00,0.35,1.52,4.4,3.1,DCC-AQ1
2021-05-09 14:00:00,0.35,1.09,3.68,2.92,DCC-AQ1
2021-05-09 15:00:00,0.35,1.29,4.52,2.91,DCC-AQ1
2021-05-09 16:00:00,0.35,1.44,3.87,2.92,DCC-AQ1
2021-05-09 17:00:00,0.35,1.68,4.95,2.94,DCC-AQ1
2021-05-09 18:00:00,0.35,1.28,3.78,2.81,DCC-AQ1
2021-05-09 19:00:00,0.35,1.04,5.98,2.82,DCC-AQ1
2021-05-09 20:00:00,0.35,0.48,3.72,2.74,DCC-AQ1
2021-05-09 21:00:00,0.35,0.71,1.33,2.57,DCC-AQ1
2021-05-09 22:00:00,0.35,0.65,2.96,2.7,DCC-AQ1
2021-05-09 23:00:00,0.35,0.5,0.24,2.67,DCC-AQ1
2021-05-10 00:00:00,0.35,0.66,-0.65,2.54,DCC-AQ1
2021-05-10 01:00:00,0.35,0.57,-0.52,2.63,DCC-AQ1
2021-05-10 02:00:00,0.35,0.55,-0.31,2.59,DCC-AQ1
2021-05-10 03:00:00,0.35,0.63,2.32,2.86,DCC-AQ1
2021-05-10 04:00:00,0.35,0.5,6.53,2.58,DCC-AQ1
2021-05-10 05:00:00,0.37,3.16,21.67,2.65,DCC-AQ1
2021-05-10 06:00:00,0.37,3.87,23.21,2.73,DCC-AQ1
2021-05-10 07:00:00,0.35,4.27,17.73,2.82,DCC-AQ1
2021-05-10 08:00:00,0.36,4.18,14.53,2.81,DCC-AQ1
2021-05-10 09:00:00,0.35,3.26,9.19,2.77,DCC-AQ1
2021-05-10 10:00:00,0.35,3.9,8.62,2.93,DCC-AQ1
2021-05-10 11:00:00,0.35,3.75,7.9,2.9,DCC-AQ1
2021-05-10 12:00:00,0.35,2.98,5.38,2.85,DCC-AQ1
2021-05-10 13:00:00,0.35,2.8,5.94,2.65,DCC-AQ1
2021-05-10 14:00:00,0.35,3.46,12.05,2.51,DCC-AQ1
2021-05-10 15:00:00,0.36,4.05,14.25,2.53,DCC-AQ1
2021-05-10 16:00:00,0.35,5.69,21.19,2.47,DCC-AQ1
2021-05-10 17:00:00,0.35,2.75,10.62,2.47,DCC-AQ1
2021-05-10 18:00:00,0.35,1.76,8.81,2.29,DCC-AQ1
2021-05-10 19:00:00,0.35,1.07,5.1,1.91,DCC-AQ1
2021-05-10 20:00:00,0.35,0.9,4.79,1.62,DCC-AQ1
2021-05-10 21:00:00,0.35,1.38,3.48,1.92,DCC-AQ1
2021-05-10 22:00:00,0.35,0.59,0.4,1.91,DCC-AQ1
2021-05-10 23:00:00,0.34,0.51,0.16,1.99,DCC-AQ1
2021-05-11 00:00:00,0.35,0.53,-0.45,1.84,DCC-AQ1
2021-05-11 01:00:00,0.32,0.55,-0.84,1.67,DCC-AQ1
2021-05-11 02:00:00,0.29,0.49,-1.4,1.86,DCC-AQ1
2021-05-11 03:00:00,0.3,0.8,0.2,1.9,DCC-AQ1
2021-05-11 04:00:00,0.29,1.51,4.51,1.78,DCC-AQ1
2021-05-11 05:00:00,0.34,2.18,17.65,1.89,DCC-AQ1
2021-05-11 06:00:00,0.35,3.41,16.78,1.99,DCC-AQ1
2021-05-11 07:00:00,0.35,4.02,16.1,1.91,DCC-AQ1
2021-05-11 08:00:00,0.35,3.83,12.64,2.03,DCC-AQ1
2021-05-11 09:00:00,0.35,3.07,10.22,1.87,DCC-AQ1
2021-05-11 10:00:00,0.35,2.82,7.71,1.93,DCC-AQ1
2021-05-11 11:00:00,0.35,4.14,9.33,2.14,DCC-AQ1
2021-05-11 12:00:00,0.35,2.86,7.25,2.05,DCC-AQ1
2021-05-11 13:00:00,0.35,2.7,7.35,1.74,DCC-AQ1
2021-05-11 14:00:00,0.33,2.89,9.31,42.86,DCC-AQ1
2021-05-11 15:00:00,0.35,3.14,9.38,0.21,DCC-AQ1
2021-05-11 16:00:00,0.35,2.62,11.08,-0.48,DCC-AQ1
2021-05-11 17:00:00,0.35,2.04,10.63,-0.62,DCC-AQ1
2021-05-11 18:00:00,0.35,1.41,11.42,-0.84,DCC-AQ1
2021-05-11 19:00:00,0.35,0.76,7.78,-0.92,DCC-AQ1
2021-05-11 20:00:00,0.35,0.53,8.88,-0.95,DCC-AQ1
2021-05-11 21:00:00,0.35,0.52,9.24,-1.15,DCC-AQ1
2021-05-11 22:00:00,0.35,0.4,13.15,-1.17,DCC-AQ1
2021-05-11 23:00:00,0.35,0.51,9.62,-1.07,DCC-AQ1
2021-05-12 00:00:00,0.36,0.44,11.42,-1.06,DCC-AQ1
2021-05-12 01:00:00,0.47,1.22,27.92,-0.98,DCC-AQ1
2021-05-12 02:00:00,0.41,20.17,35.04,-0.16,DCC-AQ1
2021-05-12 03:00:00,0.35,0.6,8.64,-0.99,DCC-AQ1
2021-05-12 04:00:00,0.35,2.6,21.29,-0.88,DCC-AQ1
2021-05-12 05:00:00,0.35,1.43,16.28,-1.08,DCC-AQ1
2021-05-12 06:00:00,0.36,3.58,28.96,-0.82,DCC-AQ1
2021-05-12 07:00:00,0.35,3.35,22.75,-0.73,DCC-AQ1
2021-05-12 08:00:00,0.35,2.67,13.42,-0.85,DCC-AQ1
2021-05-12 09:00:00,0.35,2.65,8.56,-0.53,DCC-AQ1
2021-05-12 10:00:00,0.36,2.83,9.34,-0.75,DCC-AQ1
2021-05-12 11:00:00,0.35,1.98,5.8,-0.58,DCC-AQ1
2021-05-12 12:00:00,0.35,,,-0.78,DCC-AQ1
2021-05-12 13:00:00,0.35,2.19,6.21,-1.02,DCC-AQ1
2021-05-12 14:00:00,0.35,2.09,8.52,-1.11,DCC-AQ1
2021-05-12 15:00:00,0.35,2.58,19.49,-1.12,DCC-AQ1
2021-05-12 16:00:00,0.39,2.57,24.73,-1.09,DCC-AQ1
2021-05-12 17:00:00,0.42,4.21,21.98,-1.08,DCC-AQ1
2021-05-12 18:00:00,0.44,3.97,28.15,-0.99,DCC-AQ1
2021-05-12 19:00:00,0.43,1.8,22.42,-1.16,DCC-AQ1
2021-05-12 20:00:00,0.47,0.93,24.84,-1.15,DCC-AQ1
2021-05-12 21:00:00,0.47,0.59,24.57,-1.07,DCC-AQ1
2021-05-12 22:00:00,0.47,18.68,52.16,-0.52,DCC-AQ1
2021-05-12 23:00:00,0.47,7.07,40.43,-0.87,DCC-AQ1
2021-05-13 00:00:00,0.47,7.16,34.21,-0.81,DCC-AQ1
2021-05-13 01:00:00,0.48,56.19,43.63,1.18,DCC-AQ1
2021-05-13 02:00:00,0.45,48.44,41.96,0.8,DCC-AQ1
2021-05-13 03:00:00,0.41,5.21,29.44,-0.94,DCC-AQ1
2021-05-13 04:00:00,0.47,27.08,33.96,0.07,DCC-AQ1
2021-05-13 05:00:00,0.46,79.42,48.05,2.08,DCC-AQ1
2021-05-13 06:00:00,0.47,76.73,54.63,1.97,DCC-AQ1
2021-05-13 07:00:00,0.42,18.01,37.03,-0.25,DCC-AQ1
2021-05-13 08:00:00,0.38,10.71,22.19,-0.69,DCC-AQ1
2021-05-13 09:00:00,0.37,8.2,15.56,-0.52,DCC-AQ1
2021-05-13 10:00:00,0.36,3.77,8.18,-0.44,DCC-AQ1
2021-05-13 11:00:00,0.35,3.25,11.18,-0.71,DCC-AQ1
2021-05-13 12:00:00,0.35,4.68,26.15,-0.66,DCC-AQ1
2021-05-13 13:00:00,0.37,7.85,28.43,0.25,DCC-AQ1
2021-05-13 14:00:00,0.35,5.27,18.95,0.16,DCC-AQ1
2021-05-13 15:00:00,0.36,10.82,29.95,0.51,DCC-AQ1
2021-05-13 16:00:00,0.35,3.53,12.42,-0.36,DCC-AQ1
2021-05-13 17:00:00,0.36,2.08,13.1,-0.87,DCC-AQ1
2021-05-13 18:00:00,0.35,1.01,11.39,-0.82,DCC-AQ1
2021-05-13 19:00:00,0.39,0.77,13.98,-1.21,DCC-AQ1
2021-05-13 20:00:00,0.41,0.37,17.41,-1.35,DCC-AQ1
2021-05-13 21:00:00,0.42,0.48,30.8,-1.18,DCC-AQ1
2021-05-13 22:00:00,0.45,4.82,56.99,-1.07,DCC-AQ1
2021-05-13 23:00:00,0.47,0.9,42.88,-1.2,DCC-AQ1
2021-05-14 00:00:00,0.47,7.67,58.26,-0.99,DCC-AQ1
2021-05-14 01:00:00,0.47,12.89,51.1,-0.85,DCC-AQ1
2021-05-14 02:00:00,0.47,45.08,56.66,0.35,DCC-AQ1
2021-05-14 03:00:00,0.38,14.25,40.38,-0.65,DCC-AQ1
2021-05-14 04:00:00,0.35,6.63,33.06,-0.91,DCC-AQ1
2021-05-14 05:00:00,0.41,39.0,48.63,0.49,DCC-AQ1
2021-05-14 06:00:00,0.38,21.4,39.01,-0.25,DCC-AQ1
2021-05-14 07:00:00,0.36,12.31,26.34,-0.55,DCC-AQ1
2021-05-14 08:00:00,0.37,11.83,21.61,-0.49,DCC-AQ1
2021-05-14 09:00:00,0.36,9.01,21.42,-0.46,DCC-AQ1
2021-05-14 10:00:00,0.35,6.45,21.35,-0.38,DCC-AQ1
2021-05-14 11:00:00,0.36,9.49,22.02,0.17,DCC-AQ1
2021-05-14 12:00:00,0.37,7.08,18.79,0.34,DCC-AQ1
2021-05-14 13:00:00,0.39,3.74,13.14,0.04,DCC-AQ1
2021-05-14 14:00:00,0.37,3.33,13.99,-0.4,DCC-AQ1
2021-05-14 15:00:00,0.39,4.51,20.48,-0.64,DCC-AQ1
2021-05-14 16:00:00,0.4,4.1,16.88,-0.3,DCC-AQ1
2021-05-14 17:00:00,0.36,2.48,12.47,-0.43,DCC-AQ1
2021-05-14 18:00:00,0.38,1.33,14.99,-0.65,DCC-AQ1
2021-05-14 19:00:00,0.41,1.31,18.0,-0.76,DCC-AQ1
2021-05-14 20:00:00,0.36,0.99,11.67,-0.75,DCC-AQ1
2021-05-14 21:00:00,0.38,0.48,11.85,-0.74,DCC-AQ1
2021-05-14 22:00:00,0.36,0.6,12.59,-0.83,DCC-AQ1
2021-05-14 23:00:00,0.35,0.45,4.59,-0.88,DCC-AQ1
2021-05-15 00:00:00,0.35,0.3,1.17,-0.63,DCC-AQ1
2021-05-15 01:00:00,0.35,0.18,0.52,-0.68,DCC-AQ1
2021-05-15 02:00:00,0.35,0.0,-0.73,-0.76,DCC-AQ1
2021-05-15 03:00:00,0.35,0.35,-0.34,-0.63,DCC-AQ1
2021-05-15 04:00:00,0.35,0.25,-0.65,-0.53,DCC-AQ1
2021-05-15 05:00:00,0.35,0.37,1.01,-0.64,DCC-AQ1
2021-05-15 06:00:00,0.35,0.62,3.17,-0.44,DCC-AQ1
2021-05-15 07:00:00,0.35,0.82,5.19,-0.43,DCC-AQ1
2021-05-15 08:00:00,0.35,1.18,6.67,-0.48,DCC-AQ1
2021-05-15 09:00:00,0.35,1.05,5.04,-0.4,DCC-AQ1
2021-05-15 10:00:00,0.35,1.44,4.99,-0.58,DCC-AQ1
2021-05-15 11:00:00,0.35,1.69,4.55,-0.54,DCC-AQ1
2021-05-15 12:00:00,0.35,1.8,2.19,-0.15,DCC-AQ1
2021-05-15 13:00:00,0.35,5.3,14.25,0.16,DCC-AQ1
2021-05-15 14:00:00,0.35,1.56,2.35,-0.27,DCC-AQ1
2021-05-15 15:00:00,0.35,1.21,7.46,-0.37,DCC-AQ1
2021-05-15 16:00:00,0.36,2.43,20.19,-0.34,DCC-AQ1
2021-05-15 17:00:00,0.37,2.05,19.38,-0.17,DCC-AQ1
2021-05-15 18:00:00,0.4,2.62,24.55,-0.25,DCC-AQ1
2021-05-15 19:00:00,0.42,0.84,16.69,-0.37,DCC-AQ1
2021-05-15 20:00:00,0.4,0.78,25.18,-0.37,DCC-AQ1
2021-05-15 21:00:00,0.35,0.59,14.97,-0.47,DCC-AQ1
2021-05-15 22:00:00,0.36,0.64,12.33,-0.41,DCC-AQ1
2021-05-30 22:00:00,0.44,0.18,39.08,-2.02,DCC-AQ1
2021-05-30 23:00:00,0.47,0.23,32.8,-2.1,DCC-AQ1
2021-05-31 00:00:00,0.44,0.23,21.74,-1.99,DCC-AQ1
2021-05-31 01:00:00,0.37,0.44,28.44,-1.9,DCC-AQ1
2021-05-31 02:00:00,0.35,0.54,47.62,-1.94,DCC-AQ1
2021-05-31 03:00:00,0.35,1.69,38.63,-1.91,DCC-AQ1
2021-05-31 04:00:00,0.43,57.16,51.11,0.32,DCC-AQ1
2021-05-31 05:00:00,0.47,47.47,54.57,0.14,DCC-AQ1
2021-05-31 06:00:00,0.47,11.44,51.37,-1.37,DCC-AQ1
2021-05-31 07:00:00,0.46,4.65,27.03,-1.3,DCC-AQ1
2021-05-31 08:00:00,0.4,3.6,21.28,-1.21,DCC-AQ1
