datetime,date,hour,avgtempC,maxtempC,mintempC,sunHour,uvIndex,humidity,winddirDegree,windspeedKmph,cloudcover,precipMM,pressure,latitude,longitude
2021-06-01 00:00:00,2021-06-01,00:00,14,17,11,16.0,4,93,163,13,47,0.0,1017,53.333,-6.249
2021-06-01 01:00:00,2021-06-01,01:00,14,17,11,16.0,4,91,160,13,47,0.0,1017,53.333,-6.249
2021-06-01 02:00:00,2021-06-01,02:00,14,17,11,16.0,4,90,157,14,47,0.0,1016,53.333,-6.249
2021-06-01 03:00:00,2021-06-01,03:00,14,17,11,16.0,4,89,155,14,47,0.0,1016,53.333,-6.249
2021-06-01 04:00:00,2021-06-01,04:00,14,17,11,16.0,4,89,152,10,43,0.0,1016,53.333,-6.249
2021-06-01 05:00:00,2021-06-01,05:00,14,17,11,16.0,4,90,150,14,39,0.0,1016,53.333,-6.249
2021-06-01 06:00:00,2021-06-01,06:00,14,17,11,16.0,4,90,147,13,35,0.0,1016,53.333,-6.249
2021-06-01 07:00:00,2021-06-01,07:00,14,17,11,16.0,4,86,147,9,26,0.0,1016,53.333,-6.249
2021-06-01 08:00:00,2021-06-01,08:00,14,17,11,16.0,4,82,147,9,17,0.0,1016,53.333,-6.249
2021-06-01 09:00:00,2021-06-01,09:00,14,17,11,16.0,4,78,147,10,8,0.0,1016,53.333,-6.249
2021-06-01 10:00:00,2021-06-01,10:00,14,17,11,16.0,4,77,145,12,7,0.0,1015,53.333,-6.249
2021-06-01 11:00:00,2021-06-01,11:00,14,17,11,16.0,4,76,144,14,6,0.0,1015,53.333,-6.249
2021-06-01 12:00:00,2021-06-01,12:00,14,17,11,16.0,4,74,142,19,5,0.0,1015,53.333,-6.249
2021-06-01 13:00:00,2021-06-01,13:00,14,17,11,16.0,4,74,141,18,5,0.0,1015,53.333,-6.249
2021-06-01 14:00:00,2021-06-01,14:00,14,17,11,16.0,4,74,140,18,5,0.0,1015,53.333,-6.249
2021-06-01 15:00:00,2021-06-01,15:00,14,17,11,16.0,4,73,139,17,5,0.0,1015,53.333,-6.249
