datetime,date,hour,avgtempC,maxtempC,mintempC,sunHour,uvIndex,humidity,winddirDegree,windspeedKmph,cloudcover,precipMM,pressure,latitude,longitude
2022-07-02 00:00:00,2022-07-02,00:00,14,17,10,11.0,3,87,257,17,78,0.0,1013,53.333,-6.249
2022-07-02 01:00:00,2022-07-02,01:00,14,17,10,11.0,3,87,248,16,62,0.0,1013,53.333,-6.249
2022-07-02 02:00:00,2022-07-02,02:00,14,17,10,11.0,3,87,239,15,45,0.0,1013,53.333,-6.249
2022-07-02 03:00:00,2022-07-02,03:00,14,17,10,11.0,3,88,230,14,29,0.0,1013,53.333,-6.249
2022-07-02 04:00:00,2022-07-02,04:00,14,17,10,11.0,3,86,229,15,39,0.0,1013,53.333,-6.249
2022-07-02 05:00:00,2022-07-02,05:00,14,17,10,11.0,3,85,229,16,49,0.0,1013,53.333,-6.249
2022-07-02 06:00:00,2022-07-02,06:00,14,17,10,11.0,3,84,228,16,59,0.0,1014,53.333,-6.249
2022-07-02 07:00:00,2022-07-02,07:00,14,17,10,11.0,3,80,234,16,55,0.0,1014,53.333,-6.249
2022-07-02 08:00:00,2022-07-02,08:00,14,17,10,11.0,3,76,240,16,51,0.0,1014,53.333,-6.249
2022-07-02 09:00:00,2022-07-02,09:00,14,17,10,11.0,3,72,247,15,47,0.0,1014,53.333,-6.249
2022-07-02 10:00:00,2022-07-02,10:00,14,17,10,11.0,3,70,250,15,54,0.1,1014,53.333,-6.249
2022-07-02 11:00:00,2022-07-02,11:00,14,17,10,11.0,3,67,254,15,60,0.1,1014,53.333,-6.249
2022-07-02 12:00:00,2022-07-02,12:00,14,17,10,11.0,3,65,257,15,67,0.2,1015,53.333,-6.249
2022-07-02 13:00:00,2022-07-02,13:00,14,17,10,11.0,3,66,267,15,74,0.2,1015,53.333,-6.249
2022-07-02 14:00:00,2022-07-02,14:00,14,17,10,11.0,3,67,276,15,81,0.1,1015,53.333,-6.249
2022-07-02 15:00:00,2022-07-02,15:00,14,17,10,11.0,3,68,286,15,89,0.1,1015,53.333,-6.249
2022-07-02 16:00:00,2022-07-02,16:00,14,17,10,11.0,3,69,287,15,86,0.1,1015,53.333,-6.249
2022-07-02 17:00:00,2022-07-02,17:00,14,17,10,11.0,3,71,287,15,84,0.1,1016,53.333,-6.249
2022-07-02 18:00:00,2022-07-02,18:00,14,17,10,11.0,3,73,288,16,81,0.0,1016,53.333,-6.249
2022-07-02 19:00:00,2022-07-02,19:00,14,17,10,11.0,3,79,286,16,75,0.0,1017,53.333,-6.249
2022-07-02 20:00:00,2022-07-02,20:00,14,17,10,11.0,3,85,283,17,69,0.0,1018,53.333,-6.249
2022-07-02 21:00:00,2022-07-02,21:00,14,17,10,11.0,3,91,281,17,63,0.0,1019,53.333,-6.249
2022-07-02 22:00:00,2022-07-02,22:00,14,17,10,11.0,3,91,287,16,64,0.0,1019,53.333,-6.249
2022-07-02 23:00:00,2022-07-02,23:00,14,17,10,11.0,3,92,292,14,65,0.0,1019,53.333,-6.249
2022-07-03 00:00:00,2022-07-03,00:00,14,17,10,9.0,3,93,297,13,66,0.0,1020,53.333,-6.249
2022-07-03 01:00:00,2022-07-03,01:00,14,17,10,9.0,3,93,291,14,61,0.0,1020,53.333,-6.249
2022-07-03 02:00:00,2022-07-03,02:00,14,17,10,9.0,3,93,284,15,55,0.0,1020,53.333,-6.249
2022-07-03 03:00:00,2022-07-03,03:00,14,17,10,9.0,3,93,277,16,50,0.0,1020,53.333,-6.249
2022-07-03 04:00:00,2022-07-03,04:00,14,17,10,9.0,3,93,279,17,54,0.0,1021,53.333,-6.249
2022-07-03 05:00:00,2022-07-03,05:00,14,17,10,9.0,3,93,280,18,58,0.0,1021,53.333,-6.249
2022-07-03 06:00:00,2022-07-03,06:00,14,17,10,9.0,3,93,282,19,62,0.0,1022,53.333,-6.249
2022-07-03 07:00:00,2022-07-03,07:00,14,17,10,9.0,3,89,284,19,60,0.0,1022,53.333,-6.249
2022-07-03 08:00:00,2022-07-03,08:00,14,17,10,9.0,3,85,286,19,57,0.0,1022,53.333,-6.249
2022-07-03 09:00:00,2022-07-03,09:00,14,17,10,9.0,3,81,289,18,54,0.1,1023,53.333,-6.249
2022-07-03 10:00:00,2022-07-03,10:00,14,17,10,9.0,3,75,282,17,83,0.2,1023,53.333,-6.249
2022-07-03 11:00:00,2022-07-03,11:00,14,17,10,9.0,3,69,276,16,80,0.2,1023,53.333,-6.249
2022-07-03 12:00:00,2022-07-03,12:00,14,17,10,9.0,3,63,269,15,81,0.1,1023,53.333,-6.249
2022-07-03 13:00:00,2022-07-03,13:00,14,17,10,9.0,3,64,278,15,37,0.0,1023,53.333,-6.249
2022-07-03 14:00:00,2022-07-03,14:00,14,17,10,9.0,3,65,286,12,57,0.1,1023,53.333,-6.249
2022-07-03 15:00:00,2022-07-03,15:00,14,17,10,9.0,3,66,294,10,76,0.0,1023,53.333,-6.249
