datetime,pm1,pm10,pm2_5,tsp,serial_number
2021-04-30 22:00:00,2.24,6.07,4.24,8.78,TNO2162
2021-04-30 23:00:00,2.94,8.23,5.45,12.0,TNO2162
2021-05-01 00:00:00,3.7,10.22,6.78,15.42,TNO2162
2021-05-01 01:00:00,3.45,8.75,6.01,12.9,TNO2162
2021-05-01 02:00:00,3.13,8.05,5.56,11.88,TNO2162
2021-05-01 03:00:00,3.08,7.17,5.21,9.97,TNO2162
2021-05-01 04:00:00,2.62,6.85,4.68,10.77,TNO2162
2021-05-01 05:00:00,2.84,7.32,5.12,10.68,TNO2162
2021-05-01 06:00:00,2.92,8.23,5.46,12.65,TNO2162
2021-05-01 07:00:00,2.87,9.65,5.81,15.13,TNO2162
2021-05-01 08:00:00,2.9,9.47,5.87,14.6,TNO2162
2021-05-01 09:00:00,2.61,8.55,5.52,13.25,TNO2162
2021-05-01 10:00:00,2.18,5.88,4.29,8.3,TNO2162
2021-05-01 11:00:00,2.27,6.8,4.77,10.23,TNO2162
2021-05-01 12:00:00,2.82,10.65,6.16,17.72,TNO2162
2021-05-01 13:00:00,2.61,8.4,5.53,12.95,TNO2162
2021-05-01 14:00:00,2.75,8.38,5.78,12.2,TNO2162
2021-05-01 15:00:00,2.74,8.55,5.84,12.07,TNO2162
2021-05-01 16:00:00,2.44,7.42,5.11,10.95,TNO2162
2021-05-01 17:00:00,2.63,8.58,5.66,12.4,TNO2162
2021-05-01 18:00:00,2.21,6.55,4.55,9.65,TNO2162
2021-05-01 19:00:00,2.48,8.07,5.26,12.38,TNO2162
2021-05-01 20:00:00,2.31,7.25,4.85,11.48,TNO2162
2021-05-01 21:00:00,2.79,8.92,5.79,13.17,TNO2162
2021-05-01 22:00:00,2.71,8.1,5.4,11.97,TNO2162
2021-05-01 23:00:00,1.97,5.3,3.65,7.85,TNO2162
2021-05-02 00:00:00,1.62,4.85,3.04,7.37,TNO2162
2021-05-02 01:00:00,1.41,3.3,2.49,4.55,TNO2162
2021-05-02 02:00:00,1.28,3.0,2.25,4.37,TNO2162
2021-05-02 03:00:00,1.14,2.8,2.06,4.05,TNO2162
2021-05-02 04:00:00,1.33,3.45,2.46,5.05,TNO2162
2021-05-02 05:00:00,1.17,2.67,2.02,3.8,TNO2162
2021-05-02 06:00:00,1.21,2.8,2.11,3.98,TNO2162
2021-05-02 07:00:00,1.44,4.18,2.7,6.5,TNO2162
2021-05-02 08:00:00,1.49,4.15,2.76,6.2,TNO2162
2021-05-02 09:00:00,1.42,3.65,2.6,5.27,TNO2162
2021-05-02 10:00:00,1.48,3.75,2.71,5.25,TNO2162
2021-05-02 11:00:00,1.36,3.63,2.53,5.27,TNO2162
2021-05-02 12:00:00,1.27,3.2,2.36,4.68,TNO2162
2021-05-02 13:00:00,1.06,3.15,2.11,5.02,TNO2162
2021-05-02 14:00:00,0.94,2.75,1.86,4.33,TNO2162
2021-05-02 15:00:00,0.79,2.35,1.52,4.33,TNO2162
2021-05-02 16:00:00,1.49,4.5,3.0,7.1,TNO2162
2021-05-02 17:00:00,1.71,5.48,3.51,8.72,TNO2162
2021-05-02 18:00:00,0.92,3.02,1.91,5.3,TNO2162
2021-05-02 19:00:00,0.95,3.13,1.99,5.02,TNO2162
2021-05-02 20:00:00,0.81,2.78,1.74,4.75,TNO2162
2021-05-02 21:00:00,1.3,4.35,2.65,7.75,TNO2162
2021-05-02 22:00:00,1.63,5.12,3.0,8.33,TNO2162
2021-05-02 23:00:00,1.42,4.52,2.68,8.35,TNO2162
2021-05-03 00:00:00,1.21,3.55,2.28,5.62,TNO2162
2021-05-03 01:00:00,0.91,2.72,1.69,4.52,TNO2162
2021-05-03 02:00:00,0.85,2.25,1.56,3.13,TNO2162
2021-05-03 03:00:00,0.77,1.9,1.43,2.85,TNO2162
2021-05-03 04:00:00,0.7,1.85,1.29,2.7,TNO2162
2021-05-03 05:00:00,0.66,1.85,1.28,2.87,TNO2162
2021-05-03 06:00:00,0.6,1.55,1.17,2.2,TNO2162
2021-05-03 07:00:00,1.08,3.0,2.23,4.4,TNO2162
2021-05-03 08:00:00,0.7,2.1,1.51,3.18,TNO2162
2021-05-03 09:00:00,0.48,1.27,1.04,2.07,TNO2162
2021-05-03 10:00:00,0.76,2.03,1.43,3.95,TNO2162
2021-05-03 11:00:00,0.48,1.53,0.97,2.8,TNO2162
2021-05-03 12:00:00,0.29,0.92,0.61,1.92,TNO2162
2021-05-03 13:00:00,0.64,1.85,1.34,2.88,TNO2162
2021-05-03 14:00:00,2.19,5.55,4.57,7.72,TNO2162
2021-05-03 15:00:00,5.08,11.67,9.49,16.33,TNO2162
2021-05-03 16:00:00,4.71,10.58,8.78,15.72,TNO2162
2021-05-03 17:00:00,4.73,9.23,8.08,11.98,TNO2162
2021-05-03 18:00:00,4.26,8.7,7.46,11.53,TNO2162
2021-05-03 19:00:00,2.94,6.38,5.84,8.35,TNO2162
2021-05-03 20:00:00,2.57,6.28,5.69,8.47,TNO2162
2021-05-03 21:00:00,0.95,1.8,1.66,2.55,TNO2162
2021-05-03 22:00:00,1.1,2.03,1.79,2.48,TNO2162
2021-05-03 23:00:00,1.12,2.32,1.99,2.97,TNO2162
2021-05-04 00:00:00,0.72,1.47,1.26,2.08,TNO2162
2021-05-04 01:00:00,0.83,1.78,1.45,2.55,TNO2162
2021-05-04 02:00:00,1.17,2.38,2.09,3.08,TNO2162
2021-05-04 03:00:00,1.57,3.2,2.83,3.93,TNO2162
2021-05-04 04:00:00,1.8,3.8,3.44,4.75,TNO2162
