datetime,pm1,pm10,pm2_5,pm4,serial_number
2021-04-30 22:00:00,10.52,15.49,12.05,13.27,DCC-AQ52
2021-04-30 23:00:00,11.4,16.14,12.95,14.23,DCC-AQ52
2021-05-01 00:00:00,5.84,10.5,7.09,8.31,DCC-AQ52
2021-05-01 01:00:00,6.55,10.73,7.61,8.59,DCC-AQ52
2021-05-01 02:00:00,13.8,18.33,15.22,16.37,DCC-AQ52
2021-05-01 03:00:00,9.4,13.97,10.74,11.86,DCC-AQ52
2021-05-01 04:00:00,11.1,15.23,12.37,13.4,DCC-AQ52
2021-05-01 05:00:00,14.13,18.36,15.4,16.47,DCC-AQ52
2021-05-01 06:00:00,13.67,18.37,15.03,16.2,DCC-AQ52
2021-05-01 07:00:00,12.22,18.04,13.81,15.18,DCC-AQ52
2021-05-01 08:00:00,8.68,15.03,10.36,11.74,DCC-AQ52
2021-05-01 09:00:00,4.72,8.68,5.98,7.15,DCC-AQ52
2021-05-01 10:00:00,4.01,8.73,5.42,6.64,DCC-AQ52
2021-05-01 11:00:00,3.75,8.75,5.26,6.51,DCC-AQ52
2021-05-01 12:00:00,3.87,9.45,5.44,6.72,DCC-AQ52
2021-05-01 13:00:00,3.06,7.39,4.43,5.57,DCC-AQ52
2021-05-01 14:00:00,3.2,7.18,4.63,5.91,DCC-AQ52
2021-05-01 15:00:00,3.13,8.14,4.66,6.01,DCC-AQ52
2021-05-01 16:00:00,3.07,8.68,4.71,6.2,DCC-AQ52
2021-05-01 17:00:00,3.31,7.48,4.8,6.17,DCC-AQ52
2021-05-01 18:00:00,3.4,8.32,4.92,6.24,DCC-AQ52
2021-05-01 19:00:00,3.43,7.59,4.84,6.08,DCC-AQ52
2021-05-01 20:00:00,6.69,12.71,8.43,9.96,DCC-AQ52
2021-05-01 21:00:00,6.09,11.49,7.68,9.05,DCC-AQ52
2021-05-01 22:00:00,6.95,10.97,8.3,9.45,DCC-AQ52
2021-05-01 23:00:00,6.49,10.08,7.51,8.32,DCC-AQ52
2021-05-02 00:00:00,6.16,9.06,6.92,7.53,DCC-AQ52
2021-05-02 01:00:00,6.01,7.91,6.64,7.14,DCC-AQ52
2021-05-02 02:00:00,6.38,8.01,6.99,7.49,DCC-AQ52
2021-05-02 03:00:00,7.39,10.04,8.09,8.61,DCC-AQ52
2021-05-02 04:00:00,7.0,8.71,7.56,7.96,DCC-AQ52
2021-05-02 05:00:00,7.08,8.8,7.68,8.23,DCC-AQ52
2021-05-02 06:00:00,7.9,9.6,8.52,9.06,DCC-AQ52
2021-05-02 07:00:00,8.97,11.48,9.75,10.41,DCC-AQ52
2021-05-02 08:00:00,8.23,11.63,9.14,9.92,DCC-AQ52
2021-05-02 09:00:00,7.23,10.22,8.05,8.69,DCC-AQ52
2021-05-02 10:00:00,5.21,9.16,6.13,6.86,DCC-AQ52
2021-05-02 11:00:00,4.42,9.14,5.29,5.94,DCC-AQ52
2021-05-02 12:00:00,7.18,10.2,8.01,8.72,DCC-AQ52
2021-05-02 13:00:00,8.46,11.31,9.31,10.09,DCC-AQ52
2021-05-02 14:00:00,9.68,12.56,10.54,11.32,DCC-AQ52
2021-05-02 15:00:00,9.7,12.3,10.55,11.3,DCC-AQ52
