datetime,pm1,pm10,pm2_5,pm4,serial_number
2021-05-01 00:00:00,15.74,21.29,17.56,19.04,DCC-AQ2
2021-05-01 01:00:00,13.78,19.77,15.42,16.77,DCC-AQ2
2021-05-01 02:00:00,16.76,22.05,18.34,19.62,DCC-AQ2
2021-05-01 03:00:00,13.67,18.65,15.11,16.29,DCC-AQ2
2021-05-01 04:00:00,14.28,18.57,15.61,16.78,DCC-AQ2
2021-05-01 05:00:00,14.71,19.22,16.05,17.18,DCC-AQ2
2021-05-01 06:00:00,14.98,19.09,16.23,17.23,DCC-AQ2
2021-05-01 07:00:00,14.19,20.87,15.86,17.25,DCC-AQ2
2021-05-01 08:00:00,10.32,19.32,12.37,14.21,DCC-AQ2
2021-05-01 09:00:00,4.19,9.37,5.65,6.98,DCC-AQ2
2021-05-01 10:00:00,4.23,9.51,5.76,7.1,DCC-AQ2
2021-05-01 11:00:00,3.49,8.03,4.86,6.15,DCC-AQ2
2021-05-01 12:00:00,4.46,9.67,6.05,7.48,DCC-AQ2
2021-05-01 13:00:00,4.42,9.55,6.05,7.5,DCC-AQ2
2021-05-01 14:00:00,3.51,8.02,5.0,6.36,DCC-AQ2
2021-05-01 15:00:00,3.91,8.98,5.53,7.02,DCC-AQ2
2021-05-01 16:00:00,4.55,9.54,6.19,7.63,DCC-AQ2
2021-05-01 17:00:00,5.07,11.09,6.85,8.36,DCC-AQ2
2021-05-01 18:00:00,6.95,12.93,8.8,10.39,DCC-AQ2
2021-05-01 19:00:00,9.73,15.94,11.83,13.67,DCC-AQ2
2021-05-01 20:00:00,9.81,16.79,12.1,13.88,DCC-AQ2
2021-05-01 21:00:00,16.51,23.62,18.92,20.89,DCC-AQ2
2021-05-01 22:00:00,8.45,12.76,9.98,11.28,DCC-AQ2
2021-05-01 23:00:00,7.64,10.9,8.65,9.47,DCC-AQ2
2021-05-02 00:00:00,6.2,8.26,6.88,7.4,DCC-AQ2
2021-05-02 01:00:00,6.61,8.64,7.27,7.86,DCC-AQ2
2021-05-02 02:00:00,8.07,9.73,8.72,9.2,DCC-AQ2
2021-05-02 03:00:00,7.62,9.69,8.28,8.8,DCC-AQ2
2021-05-02 04:00:00,8.07,9.57,8.62,9.06,DCC-AQ2
2021-05-02 05:00:00,8.65,10.11,9.24,9.74,DCC-AQ2
2021-05-02 06:00:00,10.6,12.68,11.35,11.99,DCC-AQ2
2021-05-02 07:00:00,9.15,11.4,9.88,10.54,DCC-AQ2
2021-05-02 08:00:00,8.2,10.86,8.95,9.52,DCC-AQ2
2021-05-02 09:00:00,7.15,9.95,7.98,8.68,DCC-AQ2
2021-05-02 10:00:00,5.42,7.52,6.14,6.71,DCC-AQ2
